Ax,Ay,Az,pitch,roll,label
-2.0202,-7.234874,6.862514,172.5325,11.56192,1
-1.864358,-7.208242,6.808096,172.5374,10.37828,1
-1.906202,-7.034588,6.787308,172.1888,11.16493,1
-1.752283,-6.765741,6.66185,171.7193,10.46227,1
-1.885366,-6.629476,6.723812,171.3001,11.57069,1
-1.875541,-6.870145,6.787786,171.8098,10.89191,1
-1.853332,-7.194273,6.845078,172.4528,10.4362,1
-1.881897,-7.390226,6.902497,172.7913,10.53227,1
-1.959069,-7.392528,6.816296,172.8908,11.18631,1
-2.043005,-7.283568,6.787563,172.7099,11.78885,1
-1.936499,-7.238372,6.76781,172.6418,10.8761,1
-1.992472,-7.219891,6.753894,172.6201,11.50706,1
-1.975939,-7.17397,6.811466,172.463,11.26257,1
-1.978988,-7.257659,6.811494,172.6333,11.22845,1
-1.866625,-7.346816,6.901284,172.7155,10.24349,1
-1.775686,-7.288301,6.950666,172.5465,9.834409,1
-1.811911,-6.920312,6.986748,171.6965,10.50294,1
-1.363714,-7.09804,6.838259,172.2669,7.322834,1
-1.420115,-7.089637,6.730206,172.3738,8.396351,1
-1.583254,-7.083946,6.728332,172.365,9.517118,1
-1.8054,-7.226175,6.708111,172.6787,10.75984,1
-1.340197,-7.414362,6.625843,173.1219,6.777392,1
-0.877336,-7.561966,6.881806,173.1373,4.008352,1
-1.189685,-7.549733,6.783576,173.2134,6.920777,1
-1.137786,-7.561691,6.488487,173.5263,6.455221,1
-1.324129,-7.546724,6.314158,173.6748,8.052259,1
-1.21988,-7.582487,6.437572,173.6123,6.770561,1
-1.014252,-7.559106,6.355299,173.6542,5.483048,1
-0.8173975,-8.081182,6.496339,174.3003,4.082126,1
-0.8202578,-8.504392,6.465161,174.8734,4.352606,1
-1.427903,-8.443199,6.444797,174.8301,8.743275,1
-1.768358,-8.569757,6.642614,174.832,9.780801,1
-1.927093,-8.515205,6.697455,174.7234,10.36023,1
-1.670494,-7.853338,5.962379,174.4781,9.436193,1
-4.129235,-7.887188,8.062678,172.6345,22.75773,1
-2.42753,-6.742843,6.427585,171.9581,12.11776,1
-1.310778,-8.017178,5.162286,175.1355,5.536739,1
-2.846993,-6.586796,6.158582,171.3975,20.64773,1
-2.002822,-5.90778,6.432795,169.2832,11.25377,1
-1.779209,-6.262356,6.458252,170.5539,10.62762,1
-1.865162,-6.634713,6.906347,171.0559,10.96948,1
-1.73402,-7.377828,7.515767,172.0942,8.854564,1
-1.530648,-7.242185,7.844095,171.4775,7.766055,1
-1.591135,-6.965861,7.999799,170.6181,8.654007,1
