,time_stamps,x_accel,y_accel,z_accel,pitch,roll
4418,1887036.347093143,8.658711,19.60721,-3.459203,-0.5148557,-22.41035
4419,1887036.362906972,5.56545,19.61215,-1.951233,-0.2905144,-14.85021
4420,1887036.3787208006,-0.1890094,19.61265,-3.104078,-0.4623335,2.386448
4421,1887036.3945346295,-5.321818,19.61269,-4.130836,-0.6150159,16.36358
4422,1887036.4103484584,-11.02381,19.6127,6.585647,0.9789989,28.92203
4423,1887036.4261622874,-18.75435,19.6127,11.8505,1.756121,40.18344
4424,1887036.4419761163,-16.03235,6.253595,9.651186,19.47393,56.15852
4425,1887036.457789945,-5.708094,18.27679,-9.905754,0.3291187,11.20035
4426,1887036.4736037739,17.08062,-15.82429,8.145698,160.6792,-41.60727
4427,1887036.4894176028,-15.94391,16.069,18.466,18.68185,35.26521
4428,1887036.5052314317,4.389438,19.25833,0.7627448,1.706836,-18.69388
4429,1887036.5210452604,10.48454,19.57726,-8.103275,-1.045487,-27.31016
4430,1887036.5368590893,4.916286,19.60916,6.604276,0.9994412,-11.42136
4431,1887036.5526729182,18.14306,-15.69105,6.198216,161.2793,-43.65498
4432,1887036.568486747,6.684112,12.73649,-7.292536,14.33536,-16.588
4433,1887036.584300576,11.9767,5.542272,-2.597449,-3.153985,-67.60608
4434,1887036.6001144047,8.131758,6.24716,1.194733,1.750991,-49.72277
4435,1887036.6159282336,6.432846,7.621291,0.4556191,0.492759,-38.73929
4436,1887036.6317420625,7.312334,5.041525,1.275942,3.126473,-56.26994
4437,1887036.6475558914,5.506229,4.802941,-0.7192349,-1.799894,-47.46136
4438,1887036.6633697203,6.271568,4.979478,0.06813731,0.1385538,-51.80356
4439,1887036.679183549,3.266764,6.466692,5.145967,6.664921,-18.5276
4440,1887036.694997378,3.64504,6.716689,1.910895,2.421948,-28.04722
4441,1887036.7108112068,7.992431,0.8763732,-4.353344,-78.72053,-59.18955
4442,1887036.7266250357,5.229474,3.929613,-2.609509,-14.62406,-45.1019
4443,1887036.7424388647,8.030207,4.284497,1.368064,3.424717,-60.666
4444,1887036.7582526933,7.573344,6.698864,-1.929629,-2.08079,-45.72056
4445,1887036.7740665223,-2.386492,1.794682,10.64559,73.88908,16.09339
4446,1887036.7898803512,-5.496316,3.258651,18.71599,60.31482,16.35324
4447,1887036.806,6.194834,3.534335,-5.474051,-22.902,-40.07718
4448,1887036.8215080088,11.05724,3.118018,-9.746167,-43.13305,-47.37859
4449,1887036.8373218377,7.152041,4.785128,-2.743692,-8.370855,-51.49433
4450,1887036.8531356666,7.045952,8.278822,-0.7484212,-1.197479,-39.0112
4451,1887036.8689494955,8.828121,4.790525,2.103642,6.15651,-60.89738
4452,1887036.8847633244,7.129523,6.725764,0.3655085,0.7992532,-44.99117
4453,1887036.900577153,8.970075,6.197436,0.4157924,0.6501767,-56.15116
4454,1887036.916390982,9.093796,6.357927,2.159729,3.017277,-53.26881
4455,1887036.932204811,8.522223,6.044294,2.222075,3.449523,-52.8473
4456,1887036.9480186398,9.958328,6.133599,-0.2561541,-0.3715289,-58.63929
4457,1887036.9638324687,8.179874,6.916096,0.3299235,0.3755374,-48.6936
4458,1887036.9796462974,8.857477,6.324208,-0.3333205,-0.4928998,-54.92744
4459,1887036.9954601263,7.688393,6.286568,0.6432693,0.9257757,-50.06734
4460,1887037.0112739552,5.843349,6.453031,0.7107615,0.9735233,-40.8905
4461,1887037.0270877841,8.908257,4.952712,1.206646,2.883506,-61.84635
4462,1887037.042901613,8.583396,5.311208,0.9437912,1.914266,-57.57919
4463,1887037.0587154417,9.927814,3.554279,0.9541369,4.363956,-70.88618
4464,1887037.0745292706,11.90028,5.912609,-1.061704,-1.269329,-62.50709
4465,1887037.0903430996,10.08712,5.101218,-1.728721,-3.753148,-61.68821
4466,1887037.1061569285,11.11033,5.020079,-1.995817,-4.425848,-64.28679
4467,1887037.1219707571,10.74937,10.13819,-4.403561,-2.532163,-42.51384
4468,1887037.137784586,9.310512,16.38603,-3.717779,-0.8959375,-27.65309
4469,1887037.153598415,12.83406,19.29003,1.140879,0.1352083,-33.89614
4470,1887037.1694122439,15.60193,19.58043,-1.954502,-0.2935884,-38.8573
4471,1887037.1852260728,17.57022,17.81077,-17.84742,-3.268408,-34.01154
4472,1887037.2010399015,-15.89495,-7.010432,15.86669,151.419,41.83323
4473,1887037.2168537304,10.20147,15.4512,13.82367,17.31163,-30.19345
4474,1887037.2326675593,12.41248,17.52929,-1.20768,1.261893,-35.12827
4475,1887037.2484813882,10.99594,8.180642,-2.555671,-2.575493,-54.83035
4476,1887037.264295217,8.33104,1.255485,-1.348041,-62.71228,-80.75713
4477,1887037.2801090458,5.569314,-0.6264703,-1.455685,-113.6816,-72.20742
4478,1887037.2959228747,5.784431,0.2562606,1.455434,62.6855,-72.65734
4479,1887037.3117367036,6.215352,0.3165216,1.796106,80.89589,-73.44141
4480,1887037.3275505325,6.973831,2.264006,1.002737,15.4129,-69.46639
4481,1887037.3433643614,7.099239,5.01217,0.2424893,1.826914,-53.20756
4482,1887037.3591781901,6.969564,6.017457,0.3797879,0.7214749,-48.55331
4483,1887037.374992019,6.42652,5.751674,0.4409229,0.7728798,-47.96277
4484,1887037.390805848,6.212762,6.041848,0.9016953,1.40196,-45.18869
4485,1887037.4066196769,6.247411,6.773324,1.820459,2.240288,-41.28624
4486,1887037.4224335055,6.423258,6.699947,1.686083,2.138695,-43.04863
4487,1887037.4382473344,6.589522,5.770363,2.157472,3.732731,-47.37027
4488,1887037.4540611634,8.870825,8.700562,1.633593,1.365215,-44.88004
4489,1887037.4698749923,12.52506,13.23635,2.453892,0.8285505,-42.78009
4490,1887037.4856888212,13.73085,17.3983,0.148424,0.06549167,-37.82074
4491,1887037.5015026499,13.36875,19.39126,0.2044632,0.03472865,-34.19795
4492,1887037.5173164788,10.50116,19.59056,1.024574,0.1528387,-27.39964
4493,1887037.5331303077,7.249423,19.61049,-2.431565,-0.3619258,-19.16965
4494,1887037.5489441366,1.373532,19.61248,2.217604,0.3303352,-2.084208
4495,1887037.5647579655,-4.853121,19.61268,-2.167892,-0.3227634,15.65116
4496,1887037.5805717942,-14.1811,19.6127,4.877114,0.7241454,36.70385
4497,1887037.596385623,-19.07008,19.6127,16.68089,2.470728,36.38696
4498,1887037.612199452,-15.30113,7.490439,12.54758,15.80827,47.66216
4499,1887037.628013281,5.498784,18.40047,-15.2207,-0.8694448,-16.23047
4500,1887037.6438271098,18.20131,-15.81192,-16.3599,-159.8892,-37.43276
4501,1887037.6596409385,-3.331952,16.07024,16.01544,-13.36309,11.66152
4502,1887037.6754547674,-1.684243,19.03274,0.1750786,-1.554317,4.418656
4503,1887037.6912685963,7.297894,9.897513,1.088434,0.6188417,-42.79021
4504,1887037.7070824252,9.387702,18.64118,-5.767246,-0.8122393,-24.95652
4505,1887037.722896254,3.718438,19.51555,17.07471,2.545401,-6.353826
4506,1887037.7387100828,11.31382,-5.338071,-15.47476,-147.2958,-30.38063
4507,1887037.7545239117,8.002981,3.611992,0.1504922,-10.21803,-56.89708
4508,1887037.7703377407,5.422304,6.375195,-4.119976,-6.293665,-32.3457
4509,1887037.7861515696,7.762904,4.979404,1.895773,4.953002,-55.74616
4510,1887037.8019653982,6.525248,8.020283,0.646391,0.868867,-37.33804
4511,1887037.8177792272,8.034805,8.462276,1.814322,1.464003,-43.21383
4512,1887037.833593056,8.79772,7.248084,-0.6610873,-0.8002009,-51.0717
4513,1887037.849406885,7.212675,13.88406,2.021874,0.4789042,-25.42198
4514,1887037.865220714,4.369312,4.989046,0.4025821,0.7615467,-45.3304
4515,1887037.8810345426,7.903249,5.502307,-12.32388,-21.28265,-29.23889
4516,1887037.8968483715,9.198283,7.712724,0.09495759,-0.9358875,-49.09515
4517,1887037.9126622004,6.651547,3.296676,-1.033418,-7.444339,-64.51314
4518,1887037.9284760293,9.154994,8.931556,-2.915332,-2.498965,-43.17127
4519,1887037.944289858,-4.949816,-0.4837498,17.3599,87.40193,18.32896
4520,1887037.960103687,17.03848,10.24286,19.38742,16.31033,-40.63358
4521,1887037.9759175158,4.961877,0.7463193,-15.71323,-79.75536,-10.45614
4522,1887037.9917313447,6.887269,8.835973,-10.64726,-13.42788,-26.86826
4523,1887038.0075451736,5.810643,7.164785,-5.96039,-7.059054,-32.74735
4524,1887038.0233590023,7.394483,7.014904,-1.149818,-1.349972,-47.13926
4525,1887038.0391728312,7.925645,5.155424,-1.229004,-2.705828,-57.42617
4526,1887038.0549866601,4.832779,5.605136,-0.2952829,-0.5784513,-38.42721
4527,1887038.070800489,5.928411,6.21897,-1.759818,-2.552382,-42.62142
4528,1887038.086614318,6.818005,4.825876,-2.218714,-5.542883,-53.09996
4529,1887038.1024281466,7.133216,6.37376,-0.7131617,-1.207314,-47.50006
4530,1887038.1182419755,7.082856,6.11052,-1.1681,-1.807978,-48.77021
4531,1887038.1340558045,6.465861,5.679098,-0.2784186,-0.4709339,-48.63005
4532,1887038.1498696334,6.807106,5.900994,-0.1420453,-0.2322118,-49.11118
4533,1887038.1656834623,8.487484,6.015839,-0.7231276,-1.129266,-54.97295
4534,1887038.181497291,10.69825,6.90432,0.5719669,0.6306992,-57.24932
4535,1887038.1973111199,10.2298,6.831559,0.5290938,0.6374015,-56.08284
4536,1887038.2131249488,10.89834,4.561763,-1.030946,-3.172324,-67.81423
4537,1887038.2289387777,8.120887,5.377697,-0.02767722,-0.1741812,-55.006
4538,1887038.2447526064,10.64651,4.711581,-0.5737848,-1.497681,-66.81155
4539,1887038.2605664353,9.543716,7.709069,-3.927366,-3.54994,-45.93214
4540,1887038.2763802642,11.05383,5.078315,-2.429005,-5.298739,-64.74418
4541,1887038.292194093,10.07574,10.75597,-1.111277,-0.9121352,-41.0946
4542,1887038.308007922,5.396864,12.14471,-10.0576,-3.849069,-16.43344
4543,1887038.3238217507,9.654411,18.8659,-8.461304,-1.49378,-25.43961
4544,1887038.3396355796,15.69553,19.53802,-2.507467,-0.3959792,-39.72069
4545,1887038.3554494085,13.85612,19.49157,-10.76824,-1.622199,-30.99822
4546,1887038.3712632374,-16.26636,-15.70281,-1.559495,-162.0907,44.9893
4547,1887038.3870770663,9.903601,16.08115,1.953582,-15.89552,-32.96755
4548,1887038.402890895,18.64179,19.25954,-6.936968,-2.646509,-42.8358
4549,1887038.418704724,15.22598,14.17589,-8.274219,-2.593683,-42.84695
4550,1887038.4345185529,10.38521,4.893251,-3.766544,-11.04082,-62.81529
4551,1887038.4503323818,7.056827,-0.6548637,-2.076777,-121.7322,-71.19581
4552,1887038.4661462107,4.952757,-2.952893,-0.4834898,-172.6547,-55.66878
4553,1887038.4819600394,4.953519,-1.542908,1.005339,117.8754,-69.88241
4554,1887038.4977738683,5.817662,0.804587,1.367545,54.3737,-73.37725
4555,1887038.5135876972,6.619464,3.168261,-0.08518794,4.377286,-62.85398
4556,1887038.529401526,6.966837,6.074402,-0.06023355,0.3657582,-47.59676
4557,1887038.5452153548,7.34203,7.66004,0.2934913,0.3148056,-43.27127
4558,1887038.5610291837,7.549777,8.148285,-0.1408786,-0.112868,-42.70666
4559,1887038.5768430126,7.24518,8.595744,0.9189325,0.7014089,-39.63105
4560,1887038.5926568415,6.475629,8.547835,2.307009,1.803835,-35.70853
4561,1887038.6084706704,5.939706,6.735182,3.322812,4.304872,-38.53915
4562,1887038.624284499,7.424628,7.915739,0.7632375,0.8101223,-43.27431
4563,1887038.640098328,12.46232,13.14925,-0.7618862,-0.1725819,-43.41693
4564,1887038.655912157,13.92281,18.96635,-4.275858,-0.641172,-34.94043
4565,1887038.6717259858,12.43338,19.54807,-2.709499,-0.403346,-31.8132
4566,1887038.6875398147,7.069867,19.60624,-4.686097,-0.6975882,-17.75625
4567,1887038.7033536434,3.796943,19.61205,-1.696835,-0.2526773,-9.905781
4568,1887038.7191674723,-0.3076809,19.61263,-2.093904,-0.31188,2.216943
4569,1887038.7349813012,-6.600697,19.61269,-1.073458,-0.1598037,20.39305
4570,1887038.7507951302,-13.7439,19.6127,4.682734,0.6955167,35.57846
4571,1887038.766608959,-19.02636,19.6127,10.70133,1.585789,40.86502
4572,1887038.7824227877,-10.72431,0.166337,-7.456337,-103.4049,45.35395
4573,1887038.7982366167,-8.357748,15.9771,-10.4206,-12.10062,21.32281
4574,1887038.8140504456,16.81565,-16.05426,8.036035,159.4448,-41.64548
4575,1887038.8298642745,-12.05732,16.046,18.45503,18.56353,28.82717
4576,1887038.8456781032,-0.7618473,19.25603,-3.037231,1.129108,-1.388409
4577,1887038.861491932,13.52264,19.57703,-6.076383,-0.744322,-36.2133
4578,1887038.877305761,5.87946,19.60913,16.85687,2.523893,-10.33266
4579,1887038.893,18.23938,-15.63719,-4.948885,-160.7585,-43.18428
4580,1887038.9089334188,2.507003,16.08771,-3.44263,-16.51491,-2.185856
4581,1887038.9247472475,1.170792,7.325407,-0.8614105,-2.38576,-9.106773
4582,1887038.9405610764,7.581242,8.823746,4.826761,3.224211,-38.25675
4583,1887038.9563749053,6.554486,8.148297,0.9912045,0.7680291,-38.51276
4584,1887038.9721887342,7.147805,7.488188,0.6421254,0.639999,-44.11786
4585,1887038.9880025631,5.616908,4.855832,0.2581429,0.5938025,-50.01224
4586,1887039.0038163918,6.274016,7.615755,-0.3189507,-0.2543354,-38.66727
4587,1887039.0196302207,8.507437,5.713264,0.4162994,0.8122862,-57.75001
4588,1887039.0354440496,4.92759,5.708325,1.47025,2.583883,-37.40177
4589,1887039.0512578785,1.559376,6.979153,0.2375258,0.3606495,-9.4489
4590,1887039.0670717075,10.78978,4.675642,-8.231215,-21.92421,-49.24804
4591,1887039.0828855361,8.719833,4.835306,-5.800667,-13.91414,-49.08521
4592,1887039.098699365,10.39612,3.187781,-1.082131,-4.39328,-73.89188
4593,1887039.114513194,8.460679,8.293625,-1.872979,-1.721329,-42.25761
4594,1887039.1303270229,-6.971479,-6.057319,12.87499,149.375,27.89723
4595,1887039.1461408515,-18.34912,-9.664433,17.23935,168.1679,43.8978
4596,1887039.1619546805,11.30064,-2.283015,19.37536,105.7026,-36.57918
4597,1887039.1777685094,13.07833,-0.1313363,4.146188,88.55831,-79.51716
4598,1887039.1935823383,5.843647,2.729903,-2.375823,-7.548309,-49.2167
4599,1887039.2093961672,6.066129,8.125014,-1.717917,-1.866259,-34.452
4600,1887039.2252099959,7.019243,6.716602,-0.08344567,-0.06969216,-47.36107
4601,1887039.2410238248,6.883992,6.358129,-0.5384209,-0.7632414,-47.26761
4602,1887039.2568376537,5.877113,6.382615,-1.284222,-1.797678,-41.44061
4603,1887039.2726514826,6.890447,5.137445,-0.1241127,-0.1699829,-54.47898
4604,1887039.2884653115,8.002373,6.760456,0.5327485,0.6269482,-49.39018
4605,1887039.3042791402,7.508072,5.588947,0.8203771,1.52372,-53.45095
4606,1887039.320092969,7.947777,5.129186,1.144345,2.482368,-56.8973
4607,1887039.335906798,6.532961,7.087157,2.654922,2.963326,-39.15091
4608,1887039.351720627,6.141524,4.860979,1.276085,2.990704,-52.09346
4609,1887039.3675344558,6.283382,5.483036,0.7481855,1.44497,-48.38899
4610,1887039.3833482845,8.745399,5.515075,0.3829523,0.7165776,-58.48882
4611,1887039.3991621134,9.577703,5.598005,0.5015732,0.9035502,-59.78841
4612,1887039.4149759423,13.44904,4.138893,-2.214518,-7.59871,-71.26978
4613,1887039.4307897713,10.25708,4.813953,-4.899483,-11.58846,-54.22315
4614,1887039.447,13.37045,6.439366,-0.7571412,-1.500906,-64.21401
4615,1887039.4624174288,12.60871,16.59147,-5.492835,-1.136038,-33.79202
4616,1887039.4782312578,10.01359,19.31058,-2.365764,-0.3838387,-26.25527
4617,1887039.4940450867,14.66267,19.58249,-8.13816,-1.211633,-35.23746
4618,1887039.5098589156,16.16619,19.60968,-9.185143,-1.363551,-36.95985
4619,1887039.5256727443,7.300932,-3.079066,-12.34101,-142.4194,-24.47936
4620,1887039.5414865732,18.38152,11.10597,-18.88607,-20.42656,-40.02077
4621,1887039.557300402,19.48958,18.76203,-14.7979,-3.955107,-38.90941
4622,1887039.573114231,18.57094,13.5702,-10.37473,-3.380861,-48.5259
4623,1887039.589,11.12265,6.09323,-5.237142,-8.788789,-55.66008
4624,1887039.6047418886,7.251238,0.7105978,-1.478282,-78.10344,-81.11285
4625,1887039.6205557175,5.931076,-2.59656,-0.8545966,-165.2979,-62.07208
4626,1887039.6363695464,4.965159,-0.9448765,1.827986,80.60018,-65.06767
4627,1887039.6521833753,5.48268,0.3321591,2.678035,82.66407,-63.08334
4628,1887039.6679972042,5.99771,2.593096,1.789079,18.66114,-61.34602
4629,1887039.683811033,6.499563,4.579647,0.9330814,3.72325,-53.37436
4630,1887039.6996248618,7.032419,6.196148,1.299986,2.062083,-47.42573
4631,1887039.7154386907,7.348588,7.264961,1.487511,1.625416,-44.41443
4632,1887039.7312525196,7.212132,7.29427,1.855338,1.989026,-43.66711
4633,1887039.7470663483,7.043342,6.558111,2.523472,3.370017,-45.19114
4634,1887039.7628801772,6.851926,6.734449,2.329556,2.930578,-43.74154
4635,1887039.7786940061,6.645319,7.738973,2.243367,2.154608,-39.05398
4636,1887039.794507835,7.997253,7.951474,2.665704,2.402064,-44.04467
4637,1887039.810321664,11.97873,12.99983,2.270517,0.8619417,-42.10909
4638,1887039.8261354927,16.22963,18.95141,-3.746365,-0.5034961,-39.71978
4639,1887039.8419493216,16.20868,19.54657,-2.831088,-0.4149952,-39.29799
4640,1887039.8577631505,10.97046,19.60609,-3.590698,-0.5334687,-27.50229
4641,1887039.8735769794,4.936867,19.61204,-3.110726,-0.4631073,-12.13059
4642,1887039.8893908083,-0.6505022,19.61263,-3.997904,-0.5954411,3.630665
4643,1887039.905204637,-6.178165,19.61269,-0.6475903,-0.0964324,19.10045
4644,1887039.921018466,-14.91479,19.6127,8.636249,1.281893,35.99813
4645,1887039.9368322948,-19.14345,19.6127,9.418107,1.395822,41.9846
4646,1887039.9526461237,-15.36449,15.30368,8.968372,2.220416,40.82089
4647,1887039.9684599526,16.11498,-16.1216,-16.75513,-159.1641,-35.26356
